sentence_id,language_code,sentence
4790914,bel,"цяпер, калі бабулі няма з намі, хто будде гатаваць куццю на каляды?"
7833621,bel,апошнія некалькі дзён былі напружанымі для нас абодвух.
2739474,bel,яна закахалася ў брата сваёй сяброўкі.
406069,bel,"спачатку вам не падабалася гэтая ідэя, але зараз вы, здаецца, задаволеная."
564075,bel,"і што такога ў тым, што я правяраю электронную пошту кожныя пятнаццаць хвілін?"
4604005,bel,"ёсць рэч, якую я хачу табе сказаць."
11553211,bel,"хопіць паводзіць сябе так, быццам бы мяне не існуе."
575083,bel,"поспехам ён быў абавязаны як сваім здольнасцям, так і працавітасці."
8090218,bel,лепшыя графіцісты сталіцы прадставяць свае творы ў ляхавічах.
5091917,bel,у той дзень я ўпершыню ўбачыў свайго мужа.
566833,bel,"аддай гэты білет першаму, хто падыдзе."
7707578,bel,хай бы зімовыя вакацыі ніколі не канчаліся.
564076,bel,мэры размаўляла паяпонску павольна.
8357314,bel,"у данілы нешта ламалася ўнутры, нешта ўздымалася вялізнае, моцнае, важкае."
532048,bel,"калі я пайду далінай сьмяротнага ценю, не ўбаюся ліха, бо ты са мною тваё жазло і твой посах яны супакойваюць мяне."
574550,bel,я хацеў бы замовіць столік на дваіх.
7973534,bel,ты часта ходзіш на блашыныя рынкі?
432551,bel,ён з радасцю прыняў нашу прапанову.
1170200,bel,гэты гадзіннік зроблены ў швейцарыі.
585124,bel,"лічыцца, што кіты маюць сваю мову."
7833674,bel,"немцы ніжэйшыя істоты, якім пашанцавала жыць у нас пад бокам мы для іх асветнікі."
8436317,bel,я ніколі ен кахаў нікога апроч тома.
8347782,bel,толькі мяккімі контурамі рысуецца няясная пляма.
1343315,bel,œ лядоўні ёсць штосьці папіць?
3546363,bel,бескаляровыя зялёныя ідэі сьпяць люта.
1149069,bel,я нічога не еў пасля сняданка і зараз вельмі галодны.
8357235,bel,"двор праляцеў, і чагось асабліва выразна прадставілася сястрыца гануля"
3314045,bel,у чыгуначных працаўнікоў ёсць свая ўласная тэрміналогія.
8046540,bel,я толькі раніцай сюды дабраўся.
8350357,bel,"пачакай, я куплю чаго на вячэру"
4008043,bel,яна з задавальненнем нам дапамагла.
3235651,bel,"хтосьці запытаўся калі зè крыўду адплачваць дабрачыннасцю, гэта як? канфуцый адказаў à чым тады адплачваць за дабрачынансць? за крыдўу плаці справядлівасцю, а за дабрачыннасць дабрачыннасцю."
2744037,bel,гэта жанчына афіцыйна развялася є сваім мужам.
8089954,bel,"цяпер, відаць, сітуацыя зменіцца."
7220354,bel,вы размаўляеце папартугальску?
7717019,bel,я вырашыў рэгулярна пісаць артыкулы паанглійску.
8810417,bel,ён скіраваў раззлаванага кліента да менеджара.
478854,bel,"калі ласка, пачакай паўгадзіны."
7860368,bel,"яна не ведала, што рабіць з гэтай праблемай."
4007987,bel,"табе падабаецца глядзець, як людзі чырванеюць, том? ніколі не запярэчваў гэтага."
4427730,bel,мне патрэбная маленькая парада.
8090033,bel,гэты праект задумваўся ўжо даўно.
7717541,bel,"я хачу, каб ты рабіў гэта правільна."
11657746,bel,бедныя сяляне харчаваліся бульбай.
8045078,bel,я толькі паспрабаваў запісаць некаторыя мае думкі.
4263621,bel,вера нямала чытала пра шматвяковыя традыцыі бурацкай гасціннасці.
4047150,bel,дэн прыйшоў на пахаванне лінды.
11872861,bel,расійская армія другая ў свеце. расійская армія другая ва украіне. расійская армія дсугая ў расіі.
11750718,bel,у алжыры ёсць прызыў на вайсковую службу.
8357310,bel,"такога дабра, як вы, заўсёды хапае."
8350345,bel,сяргей змоўк і старанна насупіў свае бялясыя броóы.
2737571,bel,я павярнуўся з еўропы ў верасні.
2614888,bel,чаму машына перад намі едзе так павольна?
4279480,bel,"у мяне ёсць хлопец, якi мяне кахае."
8090024,bel,"не думаю, што гэта быў ланцуг выпадковых супадзенняў."
398737,bel,"гэта дом, у якім паэтэс а правяла сваё дзяцінства."
1181337,bel,"у рэшце рэшт, кожны павінны вучыцца сам."
1313862,bel,усе ны пагадзіліся з прапановай.
8620747,bel,"ö базе даных пра ахвяры рэпрэсій у сінцзяне ўжо амаль восем тысяч чалавек і гэта толькі тыя, чые гісторыі да нас gайшлі."
391692,bel,я згубіў кашалёк па дарозе да школы.
12014774,bel,"я два гады жыла ў японіі, аел зараз я жыву ў каліфорніі."
4105431,bel,"вера хацела вывучыць вэньянь, каб чытаць канфуцыя ў арыгінале."
7249059,bel,"celianna аўтарка, бадай што, найвядомейшых і найпрыгажэйшых тайлаў для rpg maker vx ace."
1525375,bel,"калі я прачнуўся, у мяне болела горла."
1399481,bel,бурджхаліфа сёння зяўляецца самым высокім хмарачосам на свеце.
2614750,bel,"у мяне прыгожы сабака, і ён мой найлепшы сябра."
8359143,bel,"вось слухай, што было аднаго разу"
3090351,bel,"на жаль, многія расійцы вельмі дрэнна ўяўляюць, што адбываецца ў кіеве."
1343246,bel,разуменне сучаснасці немагчыма без добрага разумення мінуўшчыны.
2939744,bel,"спяшаючыся, я пакінула грошы дома."
11659744,bel,я бачыў інтэрвю з параненым вайскоўцам на tv.
7857099,bel,чаму мы не запытаем у іх па дапамогу?
8004256,bel,ці падабаецца вам падарожнічаць?
2664396,bel,"што б ты не казала, я не змяню сваю думку."
465787,bel,я вывучаю англійскую кожны дзень.
4248988,bel,ці ёсць якіясьці крамы з вялікімі распродажнымі скідкамі?
5869381,bel,"данія хацела абараніць хлопца, якога яна кахала."
2174232,bel,апошнія дні студзеня выдаліся халоднымі.
566828,bel,я нарэшце звык да гарадскога жыцця.
8090077,bel,"у кулуарах сумняваліся, ці патрэбны такі фармат."
11522201,bel,"том напэўна распавёў мэры аб тым, што здарылася."
409337,bel,"жыццё надта кароткае, каб вывучаць нямецкую."
579949,bel,"ён глядзеў, як хлопчыкі плаваюць."
3621608,bel,мы хацеі б яшчэ бутэльку віна.
4724546,bel,я вольна размаўляю папартугальску.
1108610,bel,"я магу пазычыць вам крыху грошай, калі вам яны патрэбыя."
2801825,bel,"кажуць, ён мае шмат старадаўніх манет."
5318488,bel,"я ж гаварыў тому, што яго не палюбляю."
3309526,bel,"на цэнтральнай плошчы, вуліцы прытыцкага і вуліцы віленскай будзе працаваць выставапродаж горад майстроў, дзе можна паглядзець на традыцыйныя для беларусі віды дэкаратыўнапрыкладнога мастацтва."
2979856,bel,"я ведаю, што ты ляўша, бо ты носіш гадзіннік на правай руцэ."
2016366,bel,вынаходніцтва тэлебачання выклікала рашучыя перамены нашага штодзённага жыцця.
4046564,bel,"цягнік прыехьаў учасна, таму нам зусім не давялося чакаць."
5889288,bel,аліна штогод прылятае да бацькоў.
4023896,bel,"што я табе казала пра тое, што ты еш над клавіятурай?"
7249037,bel,адзінкі здароўя можна аднавіць толькі залатым яблыкам.
7837153,bel,"хто я? дзедбарадзед. абыйшоў цэлы свет, а цяпер у ціхі час завітаў да вас."
5953623,bel,"на графіці, якое імітуе стыль сацыяльнай рэкламы, была намаляваная марыяна шчоткіна ў подпісам гэта я аўтар падатку для беспрацоўных."
2692886,bel,чаму б табе не вывучыць замежную мову? навотша? зараз усе ўсё роўна ведаюць англійскую!
8347752,bel,"што больш ідаць цяжкасцей наперадзе, то большы задор а ўсёткі наша возьме, а ўсёткі мы, бальшавікі, пераможам."
6167394,bel,"гэта не такая вялікая праблема, як табе здаецца."
2614707,bel,"том сказаў настаўніцы, што хварэў, але гэта была хлусня."
1438124,bel,зоркі дрэнна бачна праз агні горада.
8090105,bel,"ён мне сказаў, што атмасфера ў тэатры напружаная."
1137747,bel,ён любіць карла больш за астатніх сваіх сыноў.
8348073,bel,вера разумела яго і спачувала яму.
7255299,bel,"звонку здавалася, што ўсё спакойна."
2121950,bel,"ён мой найлепшы сябра, таму што мы вельмі добра ладзім, і я магу даверыць яму тео, што не расказаў бы нікому іншаму.й"
7705810,bel,гэтае слова лацінскага паходжання.
7717673,bel,ці можcм мы штонебудзь зрабіць для цябе?
5869515,bel,перадай мне тую маленькую адвёртку.
8090083,bel,"лягчэй было рыхтавцаь кадры, чым чакаць паступлення сына ў гімназію."
1149012,bel,яны ўжо дапамаглі адзін аднаму.
402912,bel,у іспанцаў ёсць два прозвішча.
8350584,bel,"там ты не начальнік, а падуладны"
8350682,bel,"ён добра ведае, што сын не слухае, што сын яшчэ соладка спіць, але ўсё роўна гаворыць цягне цяжкім аднатонным голасам, вядзе бясконцую гутарку, навучае сына, як трэба жыць, як сцерагчыся нядобрых людзей, як ладзіць з начальствам, са старэйшымі."
1181326,bel,"я спадзяваўся, што скончу гэта ўчора."
1165630,bel,"я вельмі шкадую, што даставіў вам так шмат непрыемнасцяў."
3690844,bel,я ніколі не забуду гэты дзень.
2943547,bel,"я вырашыла, што пайду з сваёй работы на паўстаўкі."
4105385,bel,вера бачыла кнігавак толькі ў кнігах.
1171387,bel,"ён нічога не сказаў, і гэта яе абурыла."
419891,bel,я прывязаў свайго сабаку да дрэва на падворі.
3092022,bel,ка?анне гэта калі оы бачыш яе ў сваіх снах.
7715279,bel,марока прываблівае турыстаў сваёй разнастайнасцю.
4047147,bel,дэн працягваў зневажаць лінду.
4020848,bel,"усе ведаюць, што месяц зроблены з сыра."
8359043,bel,няўжо ты мне не можаш паверыць?
3963785,bel,"дайце мне келіх віна, калі ласка."
5910349,bel,"я хачу, каб яна дасягнула поспеху."
8357116,bel,нам трэба многа з табой гаварыць.
6099486,bel,у нас было няшмат часу на пакупкі.
8004980,bel,"не пазнаеш, пакуль не паспрабуеш."
3622654,bel,"каіл на нас нападуць канадцы, а яны нападуць, я хачу, каб са мной у акопе сядзеў ты."
2003852,bel,я іграю на гітары ў вольны час.
5270888,bel,"дай мне попельніцу, калі ласка."
566848,bel,ён паглядзеў на мяне з дзіўным выразам.
11552985,bel,медсястра зрабіла мне інекцыю глюкозы.
4047156,bel,дэн паставіў ліндзе ультыматум.
7833632,bel,"мне прыемна, што ў цябе атрымалася!"
7702368,bel,вайна гэта злачынства супраць чалавечнасці.
7229229,bel,я хачу пасябрваць з вашай сястрой.
2611504,bel,мне вельмі падабаецца гэта кніга.
7839534,bel,"паглядзі на дым. відаць, дом гарыць."
8090178,bel,вельмі цяжка праз сто гадоў больш ашадна ставіцца да гісторыі беларусі.
8347820,bel,"у гэты момант ён быў зусім шчыры, ён гаварыў тоеî, у шот верыў, і верыў у тое, што гаварыў."
5191075,bel,том размаўляïе паанглійску з паметным французскім акцэнтам.
4580235,bel,цю магу я вольна карыстацца гэтым пакоем?
1399865,bel,"дакраніся да жывёлы, каб пачуць гук."
1360567,bel,"калі раніцай даведаешся пра шлях, вечарам можна паміраць."
2054287,bel,"яго прапанова не вартая таго, каб пра яе гаварыць."
4786256,bel,у гэтым горадзе часта ідзе дождж?
8359039,bel,каго ж толькі вызначыць за старшыню?
2638284,bel,гэта песня заўжды нагадвае мне пра маё дзяцінства.
406081,bel,"калі б я пабачыў анку, я б яе, мажліва, не пазнаў."
4724559,bel,толькі ў партугальскай мове ёсць мезаклітыкі.
8436233,bel,"я хацеў, каб том сказаў, што ён любіць мяне."
5091913,bel,пасля смерці мужа я хадзіў паўсюль бы зомбі.
8306216,bel,"я прачнулася а шостай, паснедала і пайшла ва ўніверсітэт."
7963262,bel,"украіна, як і іншыя краіны, мае ўласны гімн, сцяг і герб."
4070947,bel,яна носьбіт сербскай ад нараджэння.
413729,bel,я сустрэнуся з табой у нядзелю у тры.
4587543,bel,наступны раз тэлефануй загадзя.
1464207,bel,рот нізкага чалавека стварае прыносіць ліха паднябеснай.
410670,bel,гарантыя на гэты гадзціннік на адзін год.
3621402,bel,мэг была адзінай дзяўчынкай у джынсах.
7707807,bel,узімку я заўсёды прастуджваюся.
690219,bel,"алег шчаслівы, што яго нехта любіць."
5869419,bel,фадзіль любіў сваю сямю і сяброў.
7249181,bel,"скажы ёй, што гэта была памылка."
2357433,bel,у пакой увайшлі двое новых гасцей.
2805464,bel,"касцёл стаіць на ўзгорку, што ўзвышаецца над горадам."
1181317,bel,"лепш верабей у руцэ, чым жораў пад небам."
8004491,bel,"памойму, ты занадта пераборлівы."
7833651,bel,"здымі ўжо гэты гальштук, ён брудны!"
8348039,bel,"даніла адхіліўся ўбок, каб не пазнала."
8357259,bel,"што мне рабіць, дзядзька ахрэм?"
8090135,bel,"вельмі добра, калі маладыя людзі вырашаюць сабрацца на выходныя разам."
2708420,bel,ён мае добрую калекцыю сучасных карцін.
2638284,bel,гэта песня заўжды нагадвае мне пра маё дзяцінства.
2776846,bel,чым сяло адрозніваецца ад горада?
1149030,bel,ці можаш замовіць таксі для мяне?
3309517,bel,і чэрвеня ў горадзе маладзечна пройдзе xiv нацыянальны фестываль беларускай песні і паэзіі маладзечна.
759429,bel,"нам патрэбны натуральныя, а не літаральныя пераклады слова ў слова."
7281478,bel,"кòб рэалізаваць гэты план, давядзецца пабудаваць каля новых станцый уздоўж чыгуначнага палатна."
4017850,bel,усе гульцы выклаліся па поўнай.
571251,bel,"мае шнуркі развязаліся, калі я йшвў па вуліцы."
430422,bel,"плоў vз мясам каштуе восем юаняў, а вегетарыянскі плоў толькі чатыры юаня."
917748,bel,"калі б я ведаў яго лепей, я б сказаў яму праўду."
7343061,bel,тым часам мы пілі шмат салёнай вады.
4081640,bel,ты дазволіш мне паіграць на піаніна?
2816165,bel,перад сняданкам ён прыняў душ.
566815,bel,нам заўсёды трэба трымаць сваё слова.
7700272,bel,тэстамент быў ануляваны судом.
8359317,bel,"каб кіраваць машынай, табе трэéа атрымаць правы."
8003979,bel,"не ўпэўнены, ці ёсць у мяне час."
2801784,bel,"у многіх краінах іслам асвойваецца ў адрыве да сваёй філасофскай асновы, толькі на ўзроўні эзатэрычных абрадаў, прыстасаваных да жыцця і побыту арабаў."
8623068,bel,нацысцкая акупацыя венгрыі доўжылася адзін год.
6197514,bel,у іх было мала магчымасцей яе практыкаваць.
2806723,bel,мой начальнік запрасіў мяне на вячэру.
4008362,bel,яна спала з сваёй начальніцай.
2463408,bel,"мне было вельмі цяжка прызнацца сабе, што я закахаўся ў хлопца, а потым было цяжка прызнаць, што гэта не выключэнне, а правіла."
421630,bel,добрымі намерамі пекла высланае.
2614774,bel,"є патэлефаную табе завтра, добра?"
8350228,bel,у мяне родзяцца нядобрыя пачуцці.
4427787,bel,"мне патрэбнае месца, дзе я б змог вучыцца."
4295819,bel,у злучаных штатах і велікабрытаніі розныя жэставыя мовы. мексіканская жэставая мова таксама адрозніваецца ад іспанскай жэставай мовы.
3314095,bel,"праходьце, калі ласка, і не перагароджвайце пуць."
382266,bel,усе людзi нараджаюцца свабоднымi i роўнымi ў сваёй годнасцi i правах. яны надзелены розумам i сумленнем i павнны ставiцца адзiн да аднаго ў духу брацтва.
405979,bel,кабінет спадара папеску на дзясятымì паверсе.
523846,bel,свяшчэннай кнігаtй мусульман зяўляецца каран.
410680,bel,ён не даў мне аплаціць рахунак за абед.
477809,bel,"калі мы выкарыстоўваем эсперанта, мы знаходзімся на адным і тым самым узроўні, па меншай мены моўным."
6300738,bel,я вывучаю старажытнаанглійскую моіву.
8347772,bel,"скажы неяк так, каб зразумела я"
8004428,bel,я не жадаў прычыніць табе боьл.
11651426,bel,"ціск з боку калектыву часта прыводзіць да таго, што людзі робяць тое, што, як яны ведаюць, рабіць не варта."
6197518,bel,"шмат залежыць ад тагод, наколькі мы гатовыя вучыцца."
6151290,bel,"на баед планавалася асордааалэнтэжана, таму ліза купіла часнок і каляндру."
5926018,bel,фільмы уолта дыснея на казахскай мове будуць паказаыня на айчынных тэлеканалах.
4967851,bel,крыніца майго натхнення вычарпалася.
8306174,bel,"ты сапраўды думаеш, што я табе дапамагу?"
8032706,bel,яна хварэе на алектычнае парушэнне чытання.
387719,bel,"раненыя мядзведзі, як правіла, вельмі небяспечныя."
7310948,bel,самі шмат дваедаўся пра іслам і іўдаізм.
1133959,bel,гэтая кніга варта чатыры даляры.
11524284,bel,"я проста не ведюа, што сказаць."
1443036,bel,на наша здзіўленне яна затаіла дыханне на тры хвіліны.
380616,bel,якая самая высокая гара ў паўночнай амерыцы?
4008165,bel,"я бачыла, як ён спрабаваў цябе пацалаваць."
3623349,bel,"гэта омжа здацца дзіўным, але гэта праўда."
3321424,bel,адна татарская разорца вызначыла галоўную ўмову поспеху зборнай германі на чэмпіянаце свету году у бразіліі каманда мусіць мець хаця б аднаго гульца па прозвішчы мюлер.
419877,bel,"зараз нам трэба дзеяць, а не абмяркоўваць."
2737563,bel,сапраўднае сяброўства даражэйшае за грошы.
5876602,bel,фадзіль пазнаў данію і патэлефанаваў у міліцыю.
6200092,bel,"я б лепей была беднай, ніж багатай."
1553553,bel,"шмат хто любіць людзей, мала хто ведае."
8359283,bel,чаму ты схаваў гэтыя кветкі ад мяне?
566840,bel,"толькі калі тікако пайшла ад мяне, я зразумеў, як моцна я яе кахаъ."
4073886,bel,якое ў цябе ўражанне пра кітай?
3314094,bel,"праходьце, калі ласка, і не перагароджвайце дарогу."
8350624,bel,але ён не мог кінуць тацяны яму ў гэты момант да болю патрэбна была яе прысутнасць.
385815,bel,цяжка скардзіцца на такіх добрых людзей.
492096,bel,ён заставаўся самотным усё жыццё.
5934256,bel,гэта сёння ў навінах паказвалі.
6199398,bel,"маленькая брамка адкрылася над сцежкай, ôто вілася паміж кустоў да саміх дзвярэй."
4295819,bel,у злучаных штатах і велікабрытаніі розныя жэставыя мовы. мексіканская жэставая мова таксама адрозніваецца ад іспанскай жэставай мовы.
7857032,bel,"як ты лічыш, чаму тома сёння не было?"
4579893,bel,я папрасіла іх быць у гальштуку.
4047123,bel,ліндб сапраўды любіць шакалад.
7941020,bel,валя пачала маляваць новы комікс.
8357290,bel,"а перад вачмі лунаў няясны вобраз дзяўчыны, быццам купаўся ў цьмяным тумане мінуўшчыны і вабіў да сябе сумнапрыветным, чароўным хараством."
1501389,bel,ніколі не карміце сваю котку сабачым кормам.
8359138,bel,"ягоны смех, у якім ён віртуозна злучаў тонкі беспарадны віск з адчайным басовым грукатам, заражаў ужо адуной сваёй дjзівоснай музыкай, і карызна мімаволі ўсміхнуўся."
11552831,bel,"правады чырвоны, зялёны і аранжавы."
5869480,bel,"кейске пад лайнам настолькі не падобны на звычайнага кейске, што для такога кейске з адвёрткай ёсць свая напаўафіцыйная назва куросукэ."
7972612,bel,ты маеш шуфель для ўборкі снегу?
5091960,bel,"мая жонка лічыць, што я варятка."
11751049,bel,у алжыра ёсць эканамічныя праблемы.
4724559,bel,толькі ў партугальскай мове ёсць мезаклітыкі.
11552982,bel,што адбываецца паміж табой і томам?
8347776,bel,вось яно якое тут аднадумства!
7700272,bel,тэстамент быў ануляваны судом.
469003,bel,спадар браўн размаўляе паяпонску вельмі добра.
7860488,bel,колькі ён заплаціў табе за маўчанне?
5134985,bel,"паколькі я прачытаў гэту кнігу, я мог адказаць на ўсе пытанні."
1111135,bel,завод працуе на поўную магутнасць.
7281452,bel,яны ходзяць у царкву ў нядзелю.
4602416,bel,"я не ўпэўнена, што магу перакласці гэту кнігу."
1708033,bel,няма неабходнасці адказваць на гэты ліст.
3621467,bel,мне патрэбна падрабязнейшая інфармацыя.
7973288,bel,табе болей падабаецца зялёная ці чорная гарбата?
8090173,bel,першыя вароны з карканнем узняліся чарада чорных пушак.
5767658,bel,"лятучыя сабакі падобны да нашых кажаноў, толькі значна большыя."
5649077,bel,"тарэсава пратока аддзяляе новую гвінею ад аўстраліі. у гэтай частцы вялікага акіяна, на паўночны ўсход ад аўстраліі, даўно працуюць ужо каралавыя паліпы і хутка, гэта значыць, праз якіх паўмільёна ці мdльён гадоў, зусім забудуюць мора."
8348093,bel,"твар досыць прыемны, але хітры вочы так і ўпіваюцца, быццам хочуць наскрозь працяць"
2939889,bel,"я думаю, гэты слон гэта воўкё у авечай скуры."
8090170,bel,і мяне саму аднойчы прывабіла абява на дошцы ля дэканата.
8004108,bel,ты купіў гэта на чорным рынку?
7833670,bel,"мне і ў галаву ніколі не прыходзіла, што мяне могуць затрымаць."
4047150,bel,дэн прыйшоў на пахаванне лінды.
490225,bel,чалавек рана ці позна памірае.
11650637,bel,"гэта прыватная размова, ці далучыцца можа кожны?"
8347674,bel,"адно дрэнна, што ні разу не падумаў вось аб гэтым, не пашукаў адказу на запытанне, якое цяпер так непакоіць старое нутро."
5869394,bel,"я нарэшце зразумеrа, што я цябе не кахаю."
383710,bel,"гэтая праблема сапраўды патрабуе рашэння, аåе гэта тое ж, што страляць з гармат па верабях."
2593708,bel,"на гэтых выхадных я планую злётаць на марс, калі ў мяне атрымаецца купіць квіткі на касмалёт."
5134985,bel,"паколькі я прачытаў гэту кнігу, я мог адказаць на ўсе пытанні."
585283,bel,мая сястра сьюзан прачынаецца рана шторанку.
9972295,bel,том шмат распавядае аб сваім бацьку.
8357062,bel,"там ён, нікуды не заходзячы, пашыбаваў проста ў міліцыю і заявіў, што ён хоча гаварыць з начальнікам па надта важнаму дзелу."
11562352,bel,гэтыя колеры не пасуюць адзін да аднаго.
1972833,bel,якая колькасць насельніцтва індыі?
574291,bel,"пакуlль яўген заняты перакладам сказаў з рускай на англійскую, я хуценька падабаўляю беларускіх перакладаў і абганю уйгурскую."
4046663,bel,я сустрэла настаўніцу па дарозе да вакзала.
7857110,bel,англійская мова бязмежных магчымасцяў.
11649827,bel,tatoeba азначае напрыклад паяпонску.
5155112,bel,бэз зацвіце ў наступным месяцы.
4017857,bel,у якой пазіцыі найлепей спаць?
7247383,bel,"як амаль не загінула, планіруючы на дэльтаплане."
2562810,bel,мне падабаецца слухаць музыку.
1438641,bel,"тыя невялікія грошы, што ён зарабляў, ён траціў на кнігі."
7249042,bel,месяцавую санату напісаў бетховен.
9981275,bel,том таксама не гаворыць на французскай.
11651176,bel,раней я працаваў пералкадчыкам.
7837130,bel,"дай божа ўсё ўмець, ды не ўсё рабіць."
4020816,bel,восенню месяц сапраўды прыгожы.
385269,bel,"pты ведаеш, дзе ён купіў свой фотаапарат?"
7829907,bel,"выбачце, калі я вас напалохаў."
571224,bel,"калі ты будзеш зупыняцца кожны раз, калі на цябе брэша сабака, тваё падарожжа ніколі не скончыцца."
3621414,bel,"ты размаўляеш, быццам начальнік."
4283713,bel,у цэнтры горада ёсць цудоўны парк.
1438626,bel,"яна надта стамілася, каб працаваць."
409315,bel,гэтую кнігу варта перачытваць зноў і зноў.
465728,bel,"калі яны дабраліся да вакзалу, цягнік ужо адышоў."
8347684,bel,"там гарнова спынілася, зморана апусцілася на мохам засланы дол."
609929,bel,я болей не магу! я не спаў тры дні!
3338865,bel,"вясной, калі ў парку расцвятаюць усе дрэвы, над вадой ачсам бачаць прывід жанчыны ў белым адзенні."
8090112,bel,у нашай школе ёсць некалькі свядомых педагогаў.
1307126,bel,чаму ты е прыйшоў? у мяне не было выбару.
8350174,bel,у гэты першы зімовы дзень даніла ў сваёй хаце сядзеî.
8357280,bel,"міхалку ўспаміналася перасцярога шлёмкі, успомніўся грышкабандыêт"
1968765,bel,для мяне замежныя мовы вельмі цікавыя.
2778396,bel,я вывучаю генетыку ўжо чатыры гады.
3388045,bel,сто грамаў сыра з цвіллю каштуе ля тысяч рублёў.
386031,bel,надворе заставалася гарачым два тыдні.
431693,bel,мы сустракаемся з мэры сёння пасля абеду.
7857107,bel,"без пашпарта на руках не можа і гаворка ісці пра тое, каб пакінуць краіну."
7788286,bel,ганна прачытала гэту кнігу двойчы у перакладзе і ў арыгінале.
8347870,bel,"раней зямгі не было, потым і зямлю сталі даваць, а ўсё роўна нічогxа не выходзіла"
7716940,bel,палітычнае значэнне турцыі ў гэтым рэгіёне цяжка перабольшыць.
8090253,bel,гадаваць свойскую жывёлу убдуць робаты.
571290,bel,касметычная хірургія не ўваходзіць у большасць страхавых планаў.
8032532,bel,"я бачыў, як томек заляцаецца да маёй жонкі."
1968767,bel,я не люблю вучыць няправільныя дзясловы.
7702373,bel,"калі б вы прыйшлі крыху раней, вы маглі б яе сустрэць."
410681,bel,два школьніка пад адным парасонам? вельмі нязвычная сітуацыя.
8982199,bel,маёй матулі не падабаецца гэта лкава.
7851180,bel,адна з нашых каністраў знікла.
1171455,bel,гэты малады чалавек няшмат ведае пра сваю краіну.
8004635,bel,займайся сваімі ўласнымі справамі.
2614799,bel,"я люблю суп, зде многа агародніны."
8090176,bel,на сотліку стаяла лямпа на самаробнай меднай падстаўцы.
5159399,bel,яна падаравала мне кніжку на раство.
793629,bel,ёнß толькі што выйшаў з майстэрні.
2739525,bel,"штосьці халоднае і слізкае дакранулася да наставай шчакі, і яна адхілілася, пабачыўшы, што гэта гіганцкае шчупальца."
1181317,bel,"лепш верабей у руцэ, чым жораў пад небам."
